City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
216,uzgen,40.7699,73.3007,3.88,94,100,1.08,KG,1732995251
217,solleftea,63.1667,17.2667,-2.08,96,82,1.04,SE,1732995252
218,corupa,-26.4253,-49.2431,26.36,94,99,1.98,BR,1732995253
219,itoman,26.1247,127.6694,16.01,67,84,2.06,JP,1732995254
220,sikasso,10.9167,-7.0,24.15,23,1,2.36,ML,1732995255
221,potosi,-19.5836,-65.7531,8.15,86,100,3.58,BO,1732995256
222,rabaul,-4.1967,152.1721,26.81,79,87,0.98,PG,1732995257
223,codrington,-38.2667,141.9667,14.58,97,100,5.97,AU,1732995258
224,dunedin,-45.8742,170.5036,14.67,48,0,1.17,NZ,1732995259
225,manistee,44.2445,-86.3242,-3.88,73,100,4.12,US,1732995260
226,mount gambier,-37.8333,140.7667,14.66,99,100,2.32,AU,1732995194
227,alo,6.5486,4.2686,26.24,66,42,1.66,NG,1732995262
228,trairi,-3.2778,-39.2689,27.63,72,38,5.62,BR,1732995247
229,banda aceh,5.5577,95.3222,26.66,80,98,3.87,ID,1732995264
230,juuka,63.2333,29.25,2.36,97,100,5.17,FI,1732995265
231,vilyuysk,63.7553,121.6247,-29.85,96,99,2.75,RU,1732995070
232,aquiraz,-3.9014,-38.3911,29.05,73,71,5.65,BR,1732995268
233,brookings,44.3114,-96.7984,-9.75,72,100,3.39,US,1732995121
234,charkhari,25.4,79.75,15.51,39,6,0.37,IN,1732995270
235,aasiaat,68.7098,-52.8699,-18.64,100,95,2.32,GL,1732995271
236,arrifes,37.7667,-25.7,17.18,72,20,2.57,PT,1732995272
237,quvasoy,40.3022,71.9744,4.62,93,40,0.0,UZ,1732995273
238,metlili chaamba,32.2667,3.6333,15.9,25,0,1.53,DZ,1732995274
239,sinabang,2.4803,96.3801,25.9,83,100,1.84,ID,1732995173
240,kristiansund,63.1115,7.732,10.36,87,75,6.69,NO,1732995276
241,skelleftea,64.7507,20.9528,-2.8,100,100,1.54,SE,1732995116
242,nantucket,41.2835,-70.0995,6.06,45,0,8.23,US,1732995115
243,raja,8.4596,25.678,23.2,27,14,1.98,SS,1732995279
244,peniche,39.3558,-9.3811,19.0,77,100,3.36,PT,1732995280
245,kapoeta,4.7717,33.5903,29.78,36,43,1.05,SS,1732995281
246,daru,-9.0763,143.2092,26.47,86,100,1.65,PG,1732995174
247,santarem,-2.4431,-54.7083,35.07,43,20,5.14,BR,1732995284
248,coahuayana de hidalgo,18.7,-103.6583,29.99,63,60,3.21,MX,1732995285
249,banjarmasin,-3.3244,114.591,27.08,98,100,0.96,ID,1732995029
250,parkland,47.1554,-122.434,6.51,83,100,0.89,US,1732995288
251,stepnoye,51.4,46.8667,0.24,83,100,1.98,RU,1732995290
252,bouake,7.6895,-5.0218,25.24,34,74,1.3,CI,1732995291
253,champerico,14.3,-91.9167,27.93,60,13,2.97,GT,1732995292
254,al kharijah,25.4514,30.5464,15.57,62,0,3.35,EG,1732995110
255,al hazm,16.1641,44.7769,21.19,42,5,1.65,YE,1732995295
256,hanzhong,33.0728,107.0303,5.73,59,0,0.55,CN,1732995296
257,maralal,1.0968,36.698,15.73,76,9,0.98,KE,1732995297
258,varena,54.2167,24.5667,0.67,92,75,2.09,LT,1732995298
259,cuyo,10.8525,121.0086,27.63,82,100,7.28,PH,1732995299
260,petawawa,45.9001,-77.3328,0.44,61,100,1.79,CA,1732995300
261,petropavlovsk-kamchatsky,53.0452,158.6483,-0.67,100,75,2.0,RU,1732995301
262,severnoye,56.3491,78.3619,-19.1,99,30,1.44,RU,1732995302
263,tallulah,32.4085,-91.1868,12.0,28,0,2.06,US,1732995303
264,enewetak,11.3474,162.3373,28.17,78,100,9.87,MH,1732995304
265,minas de marcona,-15.2119,-75.1103,20.86,63,100,7.44,PE,1732995305
266,uturoa,-16.7333,-151.4333,27.5,75,77,4.44,PF,1732995306
267,lata,40.1629,-8.3327,14.62,75,100,1.78,PT,1732995140
268,vicuna,-30.0319,-70.7081,29.87,25,0,4.47,CL,1732995308
269,axim,4.8699,-2.2405,26.9,76,23,3.05,GH,1732995194
270,yatou,37.15,122.3833,7.19,64,100,0.57,CN,1732995312
271,pocao de pedras,-4.6667,-44.85,37.23,26,100,1.99,BR,1732995313
272,sarasota,27.167,-82.3332,21.08,56,79,3.81,US,1732995308
273,aleg,17.0481,-13.9209,27.74,10,4,4.39,MR,1732995315
274,tarauaca,-8.1614,-70.7656,30.64,58,91,1.42,BR,1732995316
275,cedeira,43.6797,-8.0209,18.32,71,96,4.82,ES,1732995317
276,bardai,11.65,7.2333,19.92,28,53,3.99,NG,1732995319
277,linglestown,40.334,-76.7891,2.21,49,40,8.23,US,1732995320
278,vadso,70.0744,29.7487,-1.91,69,20,14.4,NO,1732995321
279,los aquijes,-14.0967,-75.6908,30.3,42,70,6.39,PE,1732995322
280,alta,69.9689,23.2717,-4.41,81,75,4.92,NO,1732995323
281,barkly west,-28.5354,24.5215,25.1,10,0,4.03,ZA,1732995324
282,labuan,5.2767,115.2417,24.2,94,20,0.0,MY,1732995325
283,flagstaff,35.1981,-111.6513,12.45,27,0,3.09,US,1732995265
284,belyayevka,51.3974,56.4096,-3.15,89,99,2.25,RU,1732995327
285,eraan,9.0629,117.7016,25.95,88,100,1.56,PH,1732995329
286,luanda,-8.8368,13.2343,27.0,74,20,4.63,AO,1732995330
287,kiunga,-6.1219,141.2906,23.77,100,100,0.97,PG,1732995331
288,carolina beach,34.0352,-77.8936,11.14,34,0,1.34,US,1732995332
